architecture,mean_average_accuracy_test,mean_needed_time,mean_memory_used
one,99.18375,256.0888538658619,0.1724529266357422
two,98.59937500000001,272.7316557019949,0.1750164031982422
three,99.27562499999999,340.7975696772337,0.1932048797607422
four,98.71225,1451.9255456387996,0.29906425476074217
