architecture,mean_average_accuracy_test,mean_needed_time,mean_memory_used
one,62.82000000000001,281.4032260775566,0.1750774383544922
two,67.945,377.0324206799269,0.1822795867919922
four,69.1575,422.5763610750437,0.1854381561279297
six,66.5025,500.373297671477,0.19450018141004774
